;country;region;area;pop_dens;literacy;phones_per1000;startup_score;forward_thinking_score;happiness_score;homicide_rate;co2_emissions;gdp_per_capita;population
20;Belize;LATIN AMER. & CARIB    ;22966.0;12.5;94.1;115.7;;;;25.7;1114105.0;4420.5;397628.0
21;Benin;SUB-SAHARAN AFRICA                 ;112620.0;69.8;40.9;9.7;;35.39;5.045;1.1;6563709.0;1428.4;12123200.0
22;Bermuda;NORTHERN AMERICA                   ;53.0;1241.0;98.0;851.4;;;;8.1;639352.0;110869.5;62278.0
23;Bhutan;ASIA (EX. NEAR EAST)         ;47000.0;48.5;42.2;14.3;;41.52;;2.5;1682100.0;3000.8;771608.0
24;Bolivia;LATIN AMER. & CARIB    ;1098580.0;8.2;87.2;71.9;;47.14;5.716;6.2;19463728.0;3414.9;11673021.0
25;Bosnia & Herzegovina;EASTERN EUROPE                     ;51129.0;88.0;;215.4;;;;;;;
26;Botswana;SUB-SAHARAN AFRICA                 ;600370.0;2.7;79.8;80.5;;37.3;3.467;15.2;6438429.0;7347.6;2351627.0
27;Brazil;LATIN AMER. & CARIB    ;8511965.0;22.1;86.4;225.3;51.0;53.59;6.33;20.9;462994920.0;7518.8;212559417.0
28;British Virgin Is.;LATIN AMER. & CARIB    ;153.0;151.0;97.8;506.5;;;;;;;
29;Brunei;ASIA (EX. NEAR EAST)         ;5770.0;65.8;93.9;237.2;;48.71;;0.5;;;437479.0
30;Bulgaria;EASTERN EUROPE                     ;110910.0;66.6;98.6;336.3;45.0;46.74;5.266;1.0;50872910.0;11635.0;6948445.0
31;Burkina Faso;SUB-SAHARAN AFRICA                 ;274200.0;50.7;26.6;7.0;;37.56;4.834;1.3;2352070.0;918.2;20903273.0
32;Burma;ASIA (EX. NEAR EAST)         ;678500.0;69.8;85.3;10.1;;;;;;;
33;Burundi;SUB-SAHARAN AFRICA                 ;27830.0;290.7;51.6;3.4;;34.78;3.775;6.1;1093618.0;236.8;11890784.0
34;Cambodia;ASIA (EX. NEAR EAST)         ;181040.0;76.7;69.4;2.6;;44.06;4.83;1.8;6496958.0;1591.0;16718965.0
35;Cameroon;SUB-SAHARAN AFRICA                 ;475440.0;36.5;79.0;5.7;;40.81;5.142;1.4;9454331.0;1661.7;26545863.0
36;Canada;NORTHERN AMERICA                   ;9984670.0;3.3;97.0;552.2;90.0;57.65;7.103;2.0;675918610.0;52051.4;37742154.0
37;Cape Verde;SUB-SAHARAN AFRICA                 ;4033.0;104.4;76.6;169.6;;;;6.5;;;
38;Cayman Islands;LATIN AMER. & CARIB    ;262.0;173.4;98.0;836.3;;;;8.2;406057.0;85346.8;65722.0
39;Central African Rep.;SUB-SAHARAN AFRICA                 ;622984.0;6.9;51.0;2.3;;;;;;;
40;Chad;SUB-SAHARAN AFRICA                 ;1284000.0;7.7;47.5;1.3;;46.15;4.355;;1670941.0;696.4;16425864.0
41;Chile;LATIN AMER. & CARIB    ;756950.0;21.3;96.2;213.0;48.0;51.34;6.172;4.4;81258525.0;16502.8;19116201.0
42;China;ASIA (EX. NEAR EAST)         ;9596960.0;136.9;90.9;266.7;78.0;53.74;5.339;0.5;10432751400.0;12556.3;1439323776.0
43;Colombia;LATIN AMER. & CARIB    ;1138910.0;38.3;92.5;176.2;;49.97;6.012;22.6;77667594.0;6131.2;50882891.0
44;Comoros;SUB-SAHARAN AFRICA                 ;2170.0;318.4;56.5;24.5;;;4.289;;108422.0;1494.7;869601.0
45;Congo, Dem. Rep.;SUB-SAHARAN AFRICA                 ;2345410.0;26.7;65.5;0.2;;;;;;584.1;
46;Congo, Repub. of the;SUB-SAHARAN AFRICA                 ;342000.0;10.8;83.8;3.7;;;;;;;
47;Cook Islands;OCEANIA                            ;240.0;89.1;95.0;289.9;;;;;37354.0;;17564.0
48;Costa Rica;LATIN AMER. & CARIB    ;51100.0;79.8;96.0;340.7;;51.41;7.069;11.2;8328890.0;12508.6;5094118.0
49;Cote d'Ivoire;SUB-SAHARAN AFRICA                 ;322460.0;54.8;50.9;14.6;;;;;;2578.8;
